filename,total_layers,max_z_height_mm,total_toolpath_mm,extrusion_travel_ratio,est_print_duration_sec,path_variability,bbox_x_mm,bbox_y_mm,aspect_ratio,first_layer_toolpath_mm,max_layer_toolpath_mm,sparse_layer_fraction,avg_feedrate_mms,feedrate_cv,retraction_count,retraction_density
02.gcode.3mf,1095,231.48,287766.55,47.9636,5661,335.9485,222.0,182.24,1.0427,6124.5,8721.99,0.0,181.82,1.0794,12283,11.2174
2mm_Eevee_Pencil_Holder.gcode.3mf,264,152.8,127149.53,23.7423,2199,592.2674,222.0,144.15,0.6883,6147.54,6147.54,0.0,170.07,1.0647,5970,22.6136
333.gcode.3mf,60,112.0,80858.93,34.2685,1240,1472.1299,222.0,149.4,0.5045,6124.5,6698.29,0.521,196.77,0.9556,1531,25.5167
A3.gcode.3mf,249,159.72,591279.8,24.959,7441,1098.085,222.0,193.08,0.7195,6124.5,9506.07,0.0,143.85,0.9716,24454,98.2088
AS3-V1.gcode.3mf,225,145.0,769006.59,153.7116,5914,4316.8304,222.0,215.29,0.6532,6124.5,27456.74,0.0,254.1,0.7453,16872,74.9867
AS3-V2.gcode.3mf,225,145.0,286120.54,80.7557,2634,1522.8039,222.0,169.27,0.6532,6124.5,9677.95,0.0,218.59,0.846,6432,28.5867
Activity5.1.2.gcode.3mf,126,125.2,252218.38,31.5311,10168,1377.2392,222.0,236.03,0.5304,6124.5,9744.43,0.5,33.51,0.8322,11767,93.3889
Box_Grip_Kit_Nintendo_Switch.gcode.3mf,87,113.96,318806.35,29.8982,3808,2144.9996,222.0,178.25,0.5133,6124.5,12257.54,0.4943,197.69,0.8851,11641,133.8046
Brave Esboo-Duup.gcode.3mf,75,115.0,412389.85,96.6231,4111,6870.0841,222.0,216.96,0.518,6124.5,37211.59,0.0,235.21,0.7566,8861,118.1467
Cherry MX Keycap_Hex_PLA.gcode.3mf,90,118.0,25460.17,9.0661,977,622.123,222.0,129.6,0.5315,6124.5,6124.5,0.0,162.93,1.1515,2312,25.6889
ConnectPin.gcode.3mf,115,123.0,275196.94,110.1335,3264,2914.8725,222.0,144.59,0.5541,6124.5,14755.86,0.0,183.62,0.9325,6219,54.0783
